# Auto-generated Opening Book
# Max opening moves: 10
# Format: sequence -> move (score) [depth]
# Generated entries: 768

 -> 33 (5000) [1]
22,33,37 -> 25 (10000) [10]
22,33,37,27 -> 24 (10000) [10]
22,33,37,32 -> 24 (10000) [10]
22,33,37,43 -> 24 (10000) [10]
22,33,37,34 -> 24 (10000) [10]
22,33,37,31 -> 24 (10000) [10]
22,33,37,35 -> 24 (10000) [10]
22,33,37,38 -> 24 (10000) [10]
22,33,37,26 -> 24 (10000) [10]
33,13,19,9 -> 55 (10000) [10]
23,33,28,34 -> 21 (10000) [10]
33,11,23,27 -> 51 (10000) [10]
23,33,28,32 -> 15 (10000) [10]
33,22,38,32 -> 31 (11) [10]
12,33,24 -> 11 (10000) [10]
12,33,24,32 -> 14 (10000) [10]
12,33,24,34 -> 25 (10000) [10]
33,11,23,31 -> 51 (10000) [10]
12,33,24,27 -> 14 (10000) [10]
13,33,22,43 -> 11 (-1) [10]
33,13,19,8 -> 12 (10000) [10]
12,33,24,38 -> 14 (10000) [10]
12,33,24,18 -> 14 (10000) [10]
11,33,18 -> 44 (-2) [10]
12,33,24,43 -> 14 (10000) [10]
12,33,24,44 -> 14 (10000) [10]
12,33,24,23 -> 14 (10000) [10]
23,33,28,31 -> 21 (10000) [10]
11,33,18,26 -> 14 (10000) [10]
33,22,38,34 -> 12 (10000) [10]
11,33,18,27 -> 14 (10000) [10]
13,33,22,32 -> 14 (10000) [10]
22,33,44 -> 25 (10000) [10]
22,33,44,38 -> 24 (10000) [10]
22,33,44,34 -> 42 (10000) [10]
22,33,44,13 -> 24 (10000) [10]
22,33,44,23 -> 42 (10000) [10]
22,33,44,27 -> 24 (10000) [10]
12,33,44 -> 11 (10000) [10]
22,33,44,35 -> 24 (10000) [10]
11,33,18,31 -> 14 (10000) [10]
11,33,18,32 -> 14 (10000) [10]
33,11,23,17 -> 31 (10000) [10]
12,33,44,42 -> 14 (10000) [10]
11,33,18,17 -> 14 (10000) [10]
12,33,44,37 -> 14 (10000) [10]
13,33,22,27 -> 14 (10000) [10]
12,33,44,27 -> 14 (10000) [10]
12,33,44,38 -> 14 (10000) [10]
33,22,38,24 -> 45 (10000) [10]
11,33,18,34 -> 14 (10000) [10]
12,33,44,18 -> 14 (10000) [10]
12,33,44,32 -> 14 (10000) [10]
11,33,18,22 -> 14 (10000) [10]
12,33,44,23 -> 14 (10000) [10]
23,33,28,22 -> 14 (10000) [10]
12,33,44,24 -> 14 (10000) [10]
11,33,18,24 -> 41 (10000) [10]
